cell,cell_ontology_class,subtissue,mouse.sex,mouse.id,plate.barcode
D1.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D1.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
D10.B003275.3_38_F.1.1,oligodendrocyte precursor cell,Hippocampus,F,3_38_F,B003275
D10.B003728.3_56_F.1.1,oligodendrocyte,Striatum,F,3_56_F,B003728
D10.MAA000560.3_10_M.1.1,endothelial cell,Cortex,M,3_10_M,MAA000560
D10.MAA000578.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000578
D10.MAA000615.3_10_M.1.1,astrocyte,Striatum,M,3_10_M,MAA000615
D10.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D10.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942
D10.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845
D11.B000621.3_56_F.1.1,endothelial cell,Hippocampus,F,3_56_F,B000621
D11.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D11.MAA000553.3_10_M.1.1,endothelial cell,Hippocampus,M,3_10_M,MAA000553
D11.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
D11.MAA000561.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000561
D11.MAA000615.3_10_M.1.1,astrocyte,Striatum,M,3_10_M,MAA000615
D11.MAA000638.3_9_M.1.1,endothelial cell,Cerebellum,M,3_9_M,MAA000638
D11.MAA000902.3_11_M.1.1,neuron,Striatum,M,3_11_M,MAA000902
D11.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923
D11.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D11.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
D11.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942
D11.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845
D12.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
D12.MAA000424.3_11_M.1.1,neuron,Cerebellum,M,3_11_M,MAA000424
D12.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
D12.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561
D12.MAA000641.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000641
D12.MAA000926.3_9_M.1.1,neuron,Cortex,M,3_9_M,MAA000926
D12.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
D12.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D12.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895
D13.B000404.3_56_F.1.1,oligodendrocyte,Cerebellum,F,3_56_F,B000404
D13.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D13.B003728.3_56_F.1.1,oligodendrocyte,Striatum,F,3_56_F,B003728
D13.MAA000553.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000553
D13.MAA000615.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000615
D13.MAA000638.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000638
D13.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926
D13.MAA000941.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000941
D13.MAA000944.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000944
D14.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D14.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
D14.B003728.3_56_F.1.1,oligodendrocyte,Striatum,F,3_56_F,B003728
D14.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
D14.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
D14.MAA000615.3_10_M.1.1,endothelial cell,Striatum,M,3_10_M,MAA000615
D14.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926
D14.MAA000930.3_8_M.1.1,endothelial cell,Cortex,M,3_8_M,MAA000930
D15.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D15.MAA000550.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000550
D15.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
D15.MAA000561.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000561
D15.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
D15.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925
D15.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926
D15.MAA000935.3_8_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_8_M,MAA000935
D15.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D15.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947
D16.B000621.3_56_F.1.1,oligodendrocyte,Hippocampus,F,3_56_F,B000621
D16.MAA000424.3_11_M.1.1,endothelial cell,Cerebellum,M,3_11_M,MAA000424
D16.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561
D16.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
D16.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D16.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D16.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947
D16.MAA001853.3_38_F.1.1,neuron,Cerebellum,F,3_38_F,MAA001853
D16.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895
D17.B000621.3_56_F.1.1,oligodendrocyte,Hippocampus,F,3_56_F,B000621
D17.B001688.3_38_F.1.1,oligodendrocyte,Hippocampus,F,3_38_F,B001688
D17.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D17.B003290.3_38_F.1.1,brain pericyte,Striatum,F,3_38_F,B003290
D17.MAA000560.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000560
D17.MAA000561.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000561
D17.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
D17.MAA000902.3_11_M.1.1,oligodendrocyte,Striatum,M,3_11_M,MAA000902
D17.MAA000923.3_9_M.1.1,endothelial cell,Hippocampus,M,3_9_M,MAA000923
D17.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926
D17.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940
D17.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942
D17.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944
D17.MAA001845.3_39_F.1.1,neuron,Cerebellum,F,3_39_F,MAA001845
D18.MAA000561.3_10_M.1.1,endothelial cell,Cortex,M,3_10_M,MAA000561
D18.MAA000581.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000581
D18.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923
D18.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D18.MAA000928.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000928
D18.MAA000935.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000935
D18.MAA000940.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000940
D18.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D18.MAA001894.3_39_F.1.1,oligodendrocyte,Cortex,F,3_39_F,MAA001894
D18.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
D19.B003290.3_38_F.1.1,neuron,Striatum,F,3_38_F,B003290
D19.MAA000553.3_10_M.1.1,astrocyte,Hippocampus,M,3_10_M,MAA000553
D19.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
D19.MAA000561.3_10_M.1.1,endothelial cell,Cortex,M,3_10_M,MAA000561
D19.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564
D19.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
D19.MAA000923.3_9_M.1.1,brain pericyte,Hippocampus,M,3_9_M,MAA000923
D19.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D19.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
D19.MAA000941.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000941
D19.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D2.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
D2.B003728.3_56_F.1.1,oligodendrocyte,Striatum,F,3_56_F,B003728
D2.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564
D2.MAA000615.3_10_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_10_M,MAA000615
D2.MAA000641.3_9_M.1.1,oligodendrocyte precursor cell,Cerebellum,M,3_9_M,MAA000641
D2.MAA000923.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000923
D2.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D2.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_11_M,MAA000932
D2.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
D2.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D20.B003275.3_38_F.1.1,oligodendrocyte,Hippocampus,F,3_38_F,B003275
D20.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560
D20.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563
D20.MAA000578.3_10_M.1.1,oligodendrocyte precursor cell,Cerebellum,M,3_10_M,MAA000578
D20.MAA000581.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000581
D20.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D20.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930
D20.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D20.MAA000947.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000947
D20.MAA001853.3_38_F.1.1,neuron,Cerebellum,F,3_38_F,MAA001853
D20.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
D21.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D21.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
D21.MAA000561.3_10_M.1.1,endothelial cell,Cortex,M,3_10_M,MAA000561
D21.MAA000578.3_10_M.1.1,astrocyte,Cerebellum,M,3_10_M,MAA000578
D21.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930
D21.MAA000932.3_11_M.1.1,oligodendrocyte,Hippocampus,M,3_11_M,MAA000932
D21.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
D21.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_9_M,MAA000947
D22.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D22.B003290.3_38_F.1.1,neuron,Striatum,F,3_38_F,B003290
D22.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561
D22.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563
D22.MAA000578.3_10_M.1.1,oligodendrocyte,Cerebellum,M,3_10_M,MAA000578
D22.MAA000926.3_9_M.1.1,neuron,Cortex,M,3_9_M,MAA000926
D22.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930
D22.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
D22.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
D22.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D3.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
D3.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_10_M,MAA000564
D3.MAA000641.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000641
D3.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D3.MAA000928.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000928
D3.MAA000930.3_8_M.1.1,astrocyte,Cortex,M,3_8_M,MAA000930
D3.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
D3.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
D3.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D3.MAA000947.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000947
D3.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845
D3.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
D4.B003274.3_38_F.1.1,oligodendrocyte,Striatum,F,3_38_F,B003274
D4.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
D4.MAA000550.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000550
D4.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560
D4.MAA000564.3_10_M.1.1,astrocyte,Striatum,M,3_10_M,MAA000564
D4.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615
D4.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D4.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
D4.MAA000942.3_8_M.1.1,astrocyte,Striatum,M,3_8_M,MAA000942
D4.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D4.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845
D4.MAA001894.3_39_F.1.1,oligodendrocyte,Cortex,F,3_39_F,MAA001894
D4.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
D5.B003274.3_38_F.1.1,oligodendrocyte,Striatum,F,3_38_F,B003274
D5.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560
D5.MAA000564.3_10_M.1.1,endothelial cell,Striatum,M,3_10_M,MAA000564
D5.MAA000578.3_10_M.1.1,Bergmann glial cell,Cerebellum,M,3_10_M,MAA000578
D5.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615
D5.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D5.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
D5.MAA000941.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000941
D5.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944
D5.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845
D5.MAA001854.3_38_F.1.1,oligodendrocyte,Cerebellum,F,3_38_F,MAA001854
D6.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D6.MAA000563.3_10_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_10_M,MAA000563
D6.MAA000615.3_10_M.1.1,astrocyte,Striatum,M,3_10_M,MAA000615
D6.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D6.MAA000935.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000935
D6.MAA000942.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000942
D6.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944
D6.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_9_M,MAA000947
D6.MAA001894.3_39_F.1.1,endothelial cell,Cortex,F,3_39_F,MAA001894
D7.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
D7.B003290.3_38_F.1.1,astrocyte,Striatum,F,3_38_F,B003290
D7.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_10_M,MAA000560
D7.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615
D7.MAA000638.3_9_M.1.1,neuron,Cerebellum,M,3_9_M,MAA000638
D7.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D7.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
D7.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
D7.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
D8.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
D8.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563
D8.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564
D8.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615
D8.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923
D8.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
D8.MAA000928.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000928
D8.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
D9.B003275.3_38_F.1.1,oligodendrocyte precursor cell,Hippocampus,F,3_38_F,B003275
D9.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
D9.MAA000553.3_10_M.1.1,endothelial cell,Hippocampus,M,3_10_M,MAA000553
D9.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
D9.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615
D9.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923
D9.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925
D9.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926
D9.MAA000928.3_9_M.1.1,Bergmann glial cell,Cerebellum,M,3_9_M,MAA000928
D9.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
D9.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
E1.B003274.3_38_F.1.1,oligodendrocyte,Striatum,F,3_38_F,B003274
E1.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
E1.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560
E1.MAA000926.3_9_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_9_M,MAA000926
E1.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
E1.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
E1.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
E1.MAA000942.3_8_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_8_M,MAA000942
E1.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
E1.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845
E1.MAA001894.3_39_F.1.1,astrocyte,Cortex,F,3_39_F,MAA001894
E1.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
E10.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
E10.B003277.3_39_F.1.1,oligodendrocyte,Hippocampus,F,3_39_F,B003277
E10.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
E10.MAA000563.3_10_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_10_M,MAA000563
E10.MAA000581.3_10_M.1.1,oligodendrocyte,Cerebellum,M,3_10_M,MAA000581
E10.MAA000923.3_9_M.1.1,neuron,Hippocampus,M,3_9_M,MAA000923
E10.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925
E10.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926
E10.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
E10.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
E11.B000621.3_56_F.1.1,astrocyte,Hippocampus,F,3_56_F,B000621
E11.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
E11.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
E11.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
E11.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
E11.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
E11.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
E11.MAA001894.3_39_F.1.1,astrocyte,Cortex,F,3_39_F,MAA001894
E12.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
E12.MAA000902.3_11_M.1.1,oligodendrocyte,Striatum,M,3_11_M,MAA000902
E12.MAA000924.3_8_M.1.1,neuron,Cerebellum,M,3_8_M,MAA000924
E12.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
E12.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
E12.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941
E12.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944
E12.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947
E12.MAA001894.3_39_F.1.1,oligodendrocyte precursor cell,Cortex,F,3_39_F,MAA001894
E12.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895
E13.B003275.3_38_F.1.1,brain pericyte,Hippocampus,F,3_38_F,B003275
E13.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
E13.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
E13.MAA000578.3_10_M.1.1,oligodendrocyte,Cerebellum,M,3_10_M,MAA000578
E13.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
E13.MAA000615.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000615
E13.MAA000926.3_9_M.1.1,brain pericyte,Cortex,M,3_9_M,MAA000926
E13.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
E13.MAA000941.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000941
E13.MAA000942.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000942
E13.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944
E14.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
E14.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290
E14.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
E14.MAA000581.3_10_M.1.1,brain pericyte,Cerebellum,M,3_10_M,MAA000581
E14.MAA000641.3_9_M.1.1,brain pericyte,Cerebellum,M,3_9_M,MAA000641
E14.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926
E14.MAA000932.3_11_M.1.1,oligodendrocyte,Hippocampus,M,3_11_M,MAA000932
E14.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935
E14.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944
E15.MAA000581.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000581
E15.MAA000638.3_9_M.1.1,neuron,Cerebellum,M,3_9_M,MAA000638
E15.MAA000923.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000923
E15.MAA000941.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000941
E16.B001688.3_38_F.1.1,oligodendrocyte,Hippocampus,F,3_38_F,B001688
E16.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
E16.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560
E16.MAA000581.3_10_M.1.1,brain pericyte,Cerebellum,M,3_10_M,MAA000581
E16.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923
E16.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925
E16.MAA000932.3_11_M.1.1,oligodendrocyte,Hippocampus,M,3_11_M,MAA000932
E16.MAA000941.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000941
E16.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944
E16.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947
E16.MAA001895.3_38_F.1.1,oligodendrocyte,Cortex,F,3_38_F,MAA001895
E17.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275
E17.B003290.3_38_F.1.1,brain pericyte,Striatum,F,3_38_F,B003290
E17.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561
E17.MAA000581.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000581
E17.MAA000923.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000923
E17.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947
E17.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895
E18.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560
E18.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581
E18.MAA000638.3_9_M.1.1,endothelial cell,Cerebellum,M,3_9_M,MAA000638
E18.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926
E18.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932
